period,date,r1,r2,r3,r4,r5,b1,b2,sales,prize_pool,first_prize_count,first_prize_amount,second_prize_count,second_prize_amount
26041,2026-04-18,24,25,27,29,34,02,06,342918690,804564900,6,8170700,94,230708
26040,2026-04-15,06,12,13,21,34,08,09,322412866,776038688,6,7492423,118,125628
26039,2026-04-13,09,11,20,26,27,06,09,321747230,760888094,11,5717710,175,50714
26038,2026-04-11,08,17,21,33,35,06,07,343632778,799997856,2,10000000,174,92288
26037,2026-04-08,07,12,13,28,32,06,08,324524682,756781635,5,8402519,133,119807
26036,2026-04-06,04,07,16,26,32,05,08,298882570,732445104,9,6291520,114,106441
26035,2026-04-04,02,22,30,33,34,08,12,324023066,744740092,11,6715340,91,180483
26034,2026-04-01,11,12,25,26,27,08,11,321281232,745020716,6,6785341,215,59275
26033,2026-03-30,03,05,07,09,18,02,10,319640788,743671788,12,5620374,250,29556
26032,2026-03-28,03,04,19,26,32,01,12,342713464,787204235,6,8149825,141,117451
26031,2026-03-25,06,08,22,29,34,05,07,321190415,762397267,9,7576500,82,285678
26030,2026-03-23,02,13,22,28,34,05,12,316922568,801741816,8,7605701,97,179985
26029,2026-03-21,03,05,17,33,35,05,07,337467964,834276729,6,7877022,144,115812
26028,2026-03-18,15,27,29,30,34,01,10,303460918,861344045,1,10000000,63,280368
26027,2026-03-16,09,10,11,12,16,01,11,307838475,799972392,7,6985349,166,86031
26026,2026-03-14,10,11,22,26,32,01,08,330044286,794063793,3,9638333,119,145339
26025,2026-03-11,03,15,24,28,29,03,07,299297449,761949362,10,5872341,147,62745
26024,2026-03-09,02,04,08,10,21,09,12,293616732,790603786,3,9889639,138,87504
26023,2026-03-07,09,25,26,27,28,01,08,323009849,763063925,6,7177297,109,138525
26022,2026-03-04,05,09,10,18,26,05,06,294728612,753076287,10,5746008,261,27678
26021,2026-03-02,05,08,12,14,17,04,05,291691198,783711295,7,6463717,161,73420
26020,2026-02-28,01,10,21,23,29,10,12,319278064,823831821,3,10000000,77,219344
26019,2026-02-25,12,13,14,16,31,04,12,356165890,780263624,8,7528120,72,275339
26018,2026-02-11,09,11,19,30,35,01,12,349431305,761611230,7,6692203,86,208790
26017,2026-02-09,04,05,10,23,31,07,12,314171855,762704025,6,7044236,104,141471
26016,2026-02-07,08,09,12,19,24,01,06,333666762,755649051,13,5925957,243,50303
26015,2026-02-04,01,04,10,13,17,03,11,310086553,829148795,4,9339920,98,175350
26014,2026-02-02,16,18,23,34,35,01,06,318884035,842732986,2,10000000,81,242159
26013,2026-01-31,03,05,06,23,26,01,04,350779828,782886373,10,6149358,409,26110
26012,2026-01-28,01,02,09,22,25,01,06,318917948,799554979,5,6986204,131,102374
26011,2026-01-26,14,21,23,29,33,02,10,312938804,793323030,3,10000000,74,238777
26010,2026-01-24,02,03,13,18,26,02,09,336186076,751872266,4,7802471,182,80971
26009,2026-01-21,05,12,13,14,33,05,08,302386708,734360129,5,7330817,144,81886
26008,2026-01-19,03,06,17,21,33,05,11,301922043,724155773,4,7691274,151,80101
26007,2026-01-17,01,03,13,20,26,03,10,333462560,710693230,18,5482790,213,47028
26006,2026-01-14,05,12,18,23,35,06,12,315815131,787011243,8,6674129,217,61900
26005,2026-01-12,02,04,16,23,35,06,11,311138123,788287446,8,7117857,77,200399
26004,2026-01-10,05,18,23,25,32,05,09,329175580,779153160,11,7203146,174,60927
26003,2026-01-07,02,09,11,15,16,02,04,299733101,829620750,7,8930618,122,117604
26002,2026-01-05,04,08,15,20,31,07,08,300101679,858169056,6,9775062,125,105467
26001,2026-01-03,07,09,23,27,32,02,08,309467020,875846392,13,6570234,193,48202
25150,2025-12-31,13,14,15,28,31,01,05,315770974,942601223,4,10000000,148,101123
25149,2025-12-29,24,26,30,31,32,05,12,293718026,921221227,1,10000000,77,220057
25148,2025-12-27,03,04,14,30,32,08,12,314824866,869158981,2,10000000,52,339083
25147,2025-12-24,06,16,21,25,33,07,08,290531842,816064823,1,10000000,85,182730
25146,2025-12-22,06,11,13,16,22,02,03,295258973,762703697,4,8749278,90,151069
25145,2025-12-20,05,07,20,22,25,04,05,318998515,739212071,12,6856186,169,80943
25144,2025-12-17,02,05,13,15,28,05,08,294039927,818422787,15,6101535,176,38680
25143,2025-12-15,03,04,18,24,29,07,12,292194189,891182916,2,10000000,90,153076
25142,2025-12-13,09,10,14,27,29,02,09,305166365,850180600,3,10000000,166,72919
25141,2025-12-10,04,09,24,28,29,02,10,293217299,830232368,6,9722298,80,178828
25140,2025-12-08,04,05,13,18,34,02,08,294883884,850018674,3,10000000,88,135097
25139,2025-12-06,08,18,22,30,35,01,04,319213811,830587732,4,9709642,63,276299
25138,2025-12-03,01,03,19,21,23,07,11,299205645,795955875,6,7222472,79,205985
25137,2025-12-01,07,08,09,11,22,05,11,306419813,784972571,7,6774667,185,64465
25136,2025-11-29,07,11,15,16,23,09,11,332166578,783829598,11,9163843,181,102716
