period,date,r1,r2,r3,r4,r5,blue,sales,prize_pool,first_prize_count,first_prize_amount,second_prize_count,second_prize_amount
2026042,2026-04-16,02,07,12,19,24,31,02,400801534,1729981238,14,5706863,350
2026041,2026-04-14,02,08,10,17,19,24,17,396284492,1799981238,14,5761961,171
2026040,2026-04-12,03,04,14,22,23,33,03,421923472,1869981238,13,6070223,222
2026039,2026-04-09,08,17,18,21,25,30,30,393444014,1934981238,1,10000000,173
2026038,2026-04-07,01,02,13,23,25,27,23,382309000,1933841973,8,6202609,139
2026037,2026-04-05,11,22,27,29,31,33,27,398672542,1973841973,72,1388888,171
2026036,2026-04-02,06,10,12,15,22,28,28,398552206,2063784926,9,5684766,177
2026035,2026-03-31,02,06,12,24,25,32,32,389527084,2108784926,6,7153892,268
2026034,2026-03-29,01,03,07,13,22,23,22,425726210,2138784926,13,5653247,183
2026033,2026-03-26,03,06,13,21,28,29,21,397739574,2203784926,15,5619305,161
2026032,2026-03-24,01,03,11,18,31,33,03,392702390,2278784926,6,7330318,120
2026031,2026-03-22,03,10,12,13,18,33,03,430685136,2308784926,10,5408805,99
2026030,2026-03-19,10,11,14,19,22,24,22,401991268,2358784926,5,7573704,86
2026029,2026-03-17,06,19,22,23,28,31,19,390925844,2383784926,4,7239119,106
2026028,2026-03-15,02,06,09,17,25,28,28,425241582,2403784926,5,7757204,251
2026027,2026-03-12,02,13,17,18,25,26,26,397777968,2428784926,23,4347826,131
2026026,2026-03-10,02,09,16,22,25,29,22,377828982,2518926159,7,6119470,168
2026025,2026-03-08,02,03,15,20,23,24,03,404403816,2553926159,7,6639739,184
2026024,2026-03-05,01,02,13,21,23,29,23,370443834,2588926159,2,10000000,79
2026023,2026-03-03,01,03,08,10,23,29,23,361967792,2592273374,12,5612828,133
2026022,2026-03-01,15,18,23,25,28,32,18,380507698,2652273374,6,6366973,152
2026021,2026-02-26,03,13,25,26,30,31,03,351619166,2682273374,6,7076614,113
2026020,2026-02-24,01,13,14,21,24,30,14,381989060,2712273374,2,10000000,64
2026019,2026-02-12,07,08,16,17,18,30,07,428387634,2716368081,7,6673652,220
2026018,2026-02-10,11,15,17,22,25,30,25,365733450,2751368081,6,5577851,82
2026017,2026-02-08,01,03,05,18,29,32,32,387896530,2781368081,6,6934706,130
2026016,2026-02-05,04,05,09,10,27,30,30,364669398,2811368081,8,5687274,247
2026015,2026-02-03,07,10,13,22,27,31,31,359738534,2851368081,5,7580431,148
2026014,2026-02-01,07,13,19,22,26,32,13,386492580,2876368081,17,5882352,201
2026013,2026-01-29,04,09,12,13,16,20,04,380549690,2961315457,5,9433203,103
2026012,2026-01-27,03,05,07,16,20,24,24,358422924,2925358915,8,6799445,65
2026011,2026-01-25,02,03,04,20,31,32,20,394441490,2925771107,3,10000000,77
2026010,2026-01-22,04,09,10,15,19,26,04,358486254,2865932466,19,5702151,223
2026009,2026-01-20,03,06,13,19,23,25,06,347159860,2924245047,9,6911676,276
2026008,2026-01-18,06,09,16,27,31,33,31,388652642,2921931052,6,8725252,107
2026007,2026-01-15,09,13,19,27,29,30,19,360236814,2890464389,7,7349262,149
2026006,2026-01-13,02,06,22,23,24,28,24,352228044,2880241083,2,10000000,147
2026005,2026-01-11,01,20,22,27,30,33,01,387903486,2821524165,4,10000000,66
2026004,2026-01-08,03,07,08,09,18,32,08,361167416,2782271788,4,8704419,128
2026003,2026-01-06,05,06,09,21,28,30,28,352267432,2761523177,3,10000000,130
2026002,2026-01-04,01,05,07,18,30,32,32,377330734,2717326577,12,6797096,119
2026001,2026-01-01,02,06,11,12,13,33,02,348080190,2718022399,4,9520395,154
2025151,2025-12-30,08,09,14,22,28,30,30,369383528,2688298050,6,7732391,125
2025150,2025-12-28,06,13,17,19,24,31,06,388447078,2673213583,7,7756937,208
2025149,2025-12-25,01,02,04,06,22,30,02,355328424,2655142533,13,6418616,130
2025148,2025-12-23,03,04,09,10,15,22,22,353582370,2669426999,8,7480485,139
2025147,2025-12-21,01,03,05,08,22,33,22,392695744,2654856315,21,5719540,118
2025146,2025-12-18,05,07,12,24,26,28,26,365633358,2718302859,9,7076977,192
2025145,2025-12-16,11,12,15,18,25,32,18,356306424,2711897665,15,6220919,89
2025144,2025-12-14,01,08,15,20,26,33,26,379272340,2736534730,18,6211544,180
2025143,2025-12-11,02,09,12,13,15,24,12,357498010,2766563293,7,8038443,81
2025142,2025-12-09,02,13,15,23,27,31,31,353205678,2743073255,3,10000000,79
2025141,2025-12-07,02,04,05,10,12,13,02,390055596,2697873796,10,7082448,112
2025140,2025-12-04,01,03,04,12,18,24,18,362437084,2690606470,4,9980899,126
